level_0,level_1,1,2,3,4
"(4, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(0, 4)","(3, 1)",-296.3962807993058,-296.9032203441416,-303.597734266768,-302.2086590216632
"(1, 4)","(3, 1)",-299.6416267745501,-293.25307914381347,-297.801968639327,-295.4298328450892
"(2, 4)","(3, 1)",-291.58758511254655,-285.54769335988067,-508.5,-282.2424704381474
"(0, 5)","(3, 1)",-293.1931969791382,-297.5066574184447,-297.21075754860215,-511.0
"(1, 5)","(3, 1)",-293.09328574223673,-289.11459288355144,-295.594135437201,-510.5
"(2, 5)","(3, 1)",-281.8757244082102,-280.16089474519913,-285.08255862211274,-510.0
"(3, 4)","(3, 1)",-280.9434680514538,-279.4165155957829,-508.0,-280.08323210874653
"(2, 3)","(1, 2)",0.0,0.0,0.0,0.0
"(5, 1)","(1, 1)",-303.06796601438106,-304.9142993953093,-305.1245626224941,-297.9071205119007
"(5, 0)","(1, 1)",-306.9446741511957,-311.2160948392713,-311.2160948392713,-303.5280061059102
"(5, 2)","(1, 1)",-299.62244834125534,-298.0109587580883,-296.81049451424883,-511.0
"(1, 3)","(1, 1)",-275.8271616864834,-509.5,-282.83203635630423,-277.3600543478947
"(0, 3)","(1, 1)",-273.4436851852669,-278.09281073942367,-280.79030059179604,-275.33308324198526
"(1, 3)","(3, 2)",-283.8064451775002,-507.5,-291.07314935822944,-283.1760104291385
"(0, 3)","(3, 2)",-284.47724381784724,-284.1717045112815,-290.30828007681555,-288.8725028387893
"(2, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(3, 5)","(4, 2)",-296.1636930743587,-297.4825816321958,-299.1585322104611,-508.5
"(4, 4)","(4, 2)",-297.6903467789065,-297.9342948070079,-506.5,-297.0159663006331
"(1, 1)","(2, 1)",-293.61228164110946,-305.7421462119271,-301.3581110762718,-298.62557304075983
"(0, 1)","(2, 1)",-294.8393164429723,-294.76139822131404,-297.18447121789563,-295.69145960916967
"(2, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(5, 3)","(2, 1)",0.0,0.0,0.0,0.0
"(2, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(1, 2)","(2, 2)",-281.26054446963315,-280.83858514969745,-283.0429012587514,-278.79668640634634
"(0, 2)","(2, 2)",-276.17180125047764,-277.55465722582926,-283.6012439292664,-276.88783375207856
"(0, 4)","(3, 2)",-286.63747179771815,-282.39799223625437,-286.84219229720384,-284.83081539111765
"(1, 4)","(3, 2)",-283.6483678175488,-278.770978179652,-275.99237580051636,-278.6367650749194
"(2, 4)","(3, 2)",-274.70665158728787,-275.0574095262409,-761.25,-276.9262354777878
"(0, 5)","(3, 2)",-281.5764667593405,-282.92944323787435,-281.06487595228106,-510.0
"(1, 5)","(3, 2)",-275.16175937463026,-279.16971300700544,-279.32470124682,-764.25
"(2, 5)","(3, 2)",-275.95097767768914,-276.88075690639363,-276.6400113056326,-509.0
"(3, 4)","(3, 2)",-270.6136548543585,-275.2615629191537,-507.0,-272.5765187955733
"(3, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(5, 2)","(2, 2)",-287.4213977741035,-287.77820748037414,-287.2796361202595,-509.0
"(5, 1)","(2, 2)",-286.72071034743124,-287.4253823366738,-290.2051205238024,-286.3190743758015
"(5, 0)","(2, 2)",-291.92071134064577,-285.6428575463774,-286.14746504201435,-287.356666781272
"(4, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(1, 3)","(2, 1)",-291.78226200015774,-762.75,-296.4649945682395,-293.56066955304686
"(0, 3)","(2, 1)",-289.6685844255438,-291.4123334328435,-293.8892537348409,-287.0508919162123
"(4, 2)","(1, 2)",-270.4527017509414,-262.5995322306874,-266.6989349590517,-509.5
"(4, 1)","(1, 2)",-261.4494608367967,-261.1009790387385,-268.1734249890786,-266.93083970153003
"(4, 0)","(1, 2)",-264.2804156603707,-265.2707762745439,-266.1035658671034,-261.4777100846949
"(3, 3)","(1, 2)",0.0,0.0,0.0,0.0
"(4, 5)","(4, 2)",-296.0025259205905,-297.98189652028395,-298.48545092797474,-293.4746894795546
"(3, 6)","(4, 2)",0.0,0.0,0.0,0.0
"(3, 5)","(3, 1)",-277.3572578252606,-275.7836966111784,-274.99791350514465,-509.5
"(4, 4)","(3, 1)",-273.07872307543244,-275.221761601847,-762.75,-272.02497962664205
"(5, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(4, 5)","(4, 1)",-286.9444874743705,-289.063386892513,-290.63271615151575,-282.92830504849854
"(3, 6)","(4, 1)",0.0,0.0,0.0,0.0
"(5, 4)","(4, 1)",-287.5415384220018,-287.77820748037414,-508.0,-286.14048945147454
"(0, 4)","(2, 1)",-287.83545808975464,-293.1695061108654,-284.8703927502665,-290.1025722459576
"(1, 4)","(2, 1)",-293.5128166835075,-289.82302673487277,-292.5297502373549,-290.94326921987135
"(2, 4)","(2, 1)",-288.1484465495299,-283.98303030541354,-762.75,-285.240445544142
"(0, 5)","(2, 1)",-282.67996306134876,-288.24209088477403,-287.30940623978506,-511.0
"(1, 5)","(2, 1)",-284.12875860559666,-284.183941671576,-291.13054015988007,-510.5
"(2, 5)","(2, 1)",-281.9073294539388,-284.11004543173647,-281.1279210631201,-510.0
"(3, 4)","(2, 1)",-280.64658096431054,-278.6061448864772,-509.0,-285.0865810844998
"(0, 6)","(3, 2)",0.0,0.0,0.0,0.0
"(4, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(1, 3)","(2, 2)",-276.5823224693472,-507.5,-275.5538665102996,-271.9333101254436
"(0, 3)","(2, 2)",-273.54936237001505,-275.96712880505913,-270.30332909523423,-273.3807286691266
"(2, 3)","(2, 2)",0.0,0.0,0.0,0.0
"(0, 6)","(2, 1)",0.0,0.0,0.0,0.0
"(5, 2)","(1, 2)",-259.1377905082197,-257.05531192168564,-263.0039353486885,-510.0
"(5, 1)","(1, 2)",-263.7837283442338,-261.8940089094798,-261.67251293413216,-260.3003833439788
"(5, 0)","(1, 2)",-263.8430661033904,-265.81779834668725,-261.88822332166274,-263.32487598255824
"(4, 3)","(1, 2)",0.0,0.0,0.0,0.0
"(0, 2)","(1, 2)",-250.71178231866617,-260.3549629062376,-258.2950512679728,-250.29282604582994
"(1, 6)","(3, 2)",0.0,0.0,0.0,0.0
"(0, 4)","(2, 2)",-270.9886983313494,-270.73434858281496,-268.6667285970892,-267.6199905457945
"(1, 4)","(2, 2)",-262.6026015749299,-265.6235224807384,-267.43035175197497,-266.8635982466879
"(2, 4)","(2, 2)",-259.86487849591106,-261.17009962588037,-507.5,-258.8475305305292
"(0, 5)","(2, 2)",-265.27003536207724,-268.23981620648397,-271.70442423248187,-510.0
"(1, 5)","(2, 2)",-270.66594471376095,-262.05283090039575,-264.5165260386227,-509.5
"(2, 5)","(2, 2)",-259.959897236203,-255.53689135051818,-259.2789831012091,-509.0
"(3, 4)","(2, 2)",-253.32459351615196,-255.97370752616266,-762.0,-256.0546109237281
"(0, 3)","(1, 3)",-235.04229592374958,-507.0,-236.14600852321723,-235.23879519467923
"(1, 3)","(2, 3)",0.0,0.0,0.0,0.0
"(0, 6)","(3, 1)",0.0,0.0,0.0,0.0
"(5, 4)","(4, 2)",-297.00937359837764,-296.88591304235416,-507.0,-299.1775492051803
"(4, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(0, 1)","(1, 1)",-273.54936237001505,-281.7061616225109,-276.1082887708553,-281.0835023102136
"(3, 5)","(3, 2)",-271.9112103486069,-274.31571405927593,-271.00283836981055,-508.5
"(4, 4)","(3, 2)",-274.121760464492,-270.1542457293475,-507.5,-268.9612893114942
"(3, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(1, 6)","(3, 1)",0.0,0.0,0.0,0.0
"(5, 5)","(4, 1)",-288.4891080784412,-282.05075510849963,-284.4400336095125,-285.08420817450514
"(4, 6)","(4, 1)",-509.5,-282.0360596438,-279.2756338560141,-280.352567262316
"(5, 5)","(4, 2)",-297.06364917968654,-297.2343673319023,-295.3498153212232,-296.2171817622832
"(4, 6)","(4, 2)",-508.5,-285.7732058510578,-294.3053127076059,-288.0543333733589
"(1, 6)","(2, 1)",0.0,0.0,0.0,0.0
"(0, 6)","(2, 2)",0.0,0.0,0.0,0.0
"(2, 6)","(3, 1)",0.0,0.0,0.0,0.0
"(5, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(0, 3)","(1, 2)",-244.66013937629145,-242.83168364011215,-250.80721971446337,-244.02068415425362
"(1, 3)","(1, 2)",-245.60324970081646,-508.5,-253.49642436576943,-239.01502284019028
"(0, 4)","(1, 2)",-235.70460801853181,-239.47171791582417,-242.39091369520457,-238.9844490038467
"(0, 5)","(1, 2)",-231.29673196026118,-234.33554568088056,-238.68010288120246,-510.0
"(1, 5)","(1, 2)",-232.6345565420603,-231.91894567906198,-234.64383776856076,-509.5
"(1, 4)","(1, 2)",-236.27766003298336,-233.29797911585575,-240.6950351699477,-234.8884509263595
"(3, 5)","(2, 1)",-279.0299747520653,-279.7420742085468,-279.2148548314352,-510.5
"(1, 4)","(1, 1)",-275.9080890176066,-268.29671439372,-266.71851796267356,-270.9216418197909
"(0, 4)","(1, 1)",-270.58453886493237,-274.47482124609155,-278.3572193543158,-272.1102565013837
"(2, 4)","(1, 1)",-262.1643858303236,-260.6409883797635,-509.5,-262.34159842086405
"(1, 5)","(1, 1)",-271.7697884758472,-260.87835562535474,-270.0575855757609,-510.5
"(0, 5)","(1, 1)",-271.4113594876149,-269.8285996879509,-275.0427224867806,-511.0
"(2, 5)","(1, 1)",-254.88786587892457,-257.39703963526665,-256.7228598841848,-766.5
"(2, 6)","(2, 1)",0.0,0.0,0.0,0.0
"(2, 6)","(3, 2)",0.0,0.0,0.0,0.0
"(3, 4)","(1, 1)",-254.8087193119412,-248.09608230889188,-510.0,-258.3438214632996
