level_0,level_1,1,2,3,4
"(0, 2)","(2, 1)",-793.6480983226472,-791.3297348009113,-792.0872105750755,-793.3464552571506
"(1, 1)","(2, 1)",-796.7225929855075,-801.4887008126559,-798.8720027348022,-797.6423250167954
"(0, 1)","(2, 1)",-792.5924797540504,-796.4779380914911,-794.3704557217386,-793.2074400668296
"(2, 1)","(3, 1)",-812.924521009357,-817.9349887426032,-814.1773690605207,-815.4010868738103
"(1, 1)","(3, 1)",-811.51365964246,-811.6254494255755,-814.55868014778,-811.1306128700612
"(0, 1)","(3, 1)",-812.265721634285,-811.701311412939,-810.1680225608015,-813.9400382973722
"(3, 1)","(4, 1)",-822.7779307549654,-821.0270361630364,-822.9258087948501,-823.4941165468152
"(2, 1)","(4, 1)",-821.1454507965439,-820.7281669772319,-822.0846362389901,-821.1107213508922
"(1, 1)","(4, 1)",-821.1007528541893,-819.3271576514076,-820.8677503129096,-820.8008753552865
"(0, 1)","(4, 1)",-818.6100904904466,-821.0826483995725,-818.3620771767598,-819.4378558977875
"(5, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(3, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(3, 1)","(3, 2)",-804.4207264383435,-803.0010842575477,-803.9293814378806,-981.34375
"(2, 1)","(3, 2)",-802.3516079035516,-844.499423750895,-803.4772100287739,-803.4806505886419
"(1, 1)","(3, 2)",-799.8634296368542,-801.9010054740636,-799.6689182167054,-802.210503265441
"(0, 1)","(3, 2)",-798.9826445568814,-798.3637454604932,-800.7546155147024,-797.1924926170816
"(4, 1)","(3, 2)",-806.3950790905621,-807.868215528432,-804.7926545806129,-805.7004684289968
"(3, 0)","(3, 2)",-803.9419516253298,-804.5580795459587,-804.5324246755729,-803.1002858535205
"(2, 0)","(3, 2)",-800.8621436840401,-802.8276485513823,-803.7905668801666,-803.7964169268089
"(1, 0)","(3, 2)",-799.0316643279716,-798.5658868276278,-801.996902495709,-801.9818229344253
"(0, 0)","(3, 2)",-796.9966705404269,-801.3670391365679,-799.377069905149,-799.1602009887008
"(4, 0)","(3, 2)",-804.2808755134774,-804.5426656880529,-802.8717396566012,-802.7464184047394
"(3, 2)","(3, 3)",0.0,0.0,0.0,0.0
"(5, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(4, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(4, 3)","(3, 1)",0.0,0.0,0.0,0.0
"(3, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(2, 3)","(4, 1)",0.0,0.0,0.0,0.0
"(2, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(2, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(1, 3)","(4, 1)",-810.4185639093703,-889.875,-816.8575840908479,-811.6428280457269
"(0, 3)","(4, 1)",-814.1090584455978,-811.6815104076725,-814.6497699580693,-813.825780617361
"(3, 3)","(3, 1)",0.0,0.0,0.0,0.0
"(5, 2)","(3, 2)",-809.3051417445004,-809.5069988588475,-810.4640860250292,-889.0
"(5, 1)","(3, 2)",-808.6533161732589,-808.5461574886044,-806.3982778242435,-808.9020538387804
"(5, 0)","(3, 2)",-805.3174751467892,-805.0407588434541,-804.398780935462,-805.7718354489068
"(4, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(5, 3)","(3, 1)",0.0,0.0,0.0,0.0
"(1, 3)","(4, 2)",-808.9985466984665,-888.125,-807.6856084959602,-807.8774384306344
"(0, 3)","(4, 2)",-808.7320976817198,-807.7534653494918,-810.2642562534725,-807.8109872903832
"(0, 4)","(4, 1)",-807.695405396315,-806.0902606659442,-811.0254760449754,-809.5771964397904
"(1, 4)","(4, 1)",-808.3882077564122,-808.5939596249158,-805.5284888550013,-805.5902348399167
"(2, 4)","(4, 1)",-806.868072050627,-808.5345091515283,-889.875,-803.8867226503555
"(0, 5)","(4, 1)",-808.6078947749737,-808.2373945314628,-807.802794629022,-894.25
"(1, 5)","(4, 1)",-805.781567197949,-802.7728035040288,-808.3802878205496,-893.375
"(2, 5)","(4, 1)",-803.3084461468018,-797.0941324261423,-801.8522305535287,-892.5
"(3, 4)","(4, 1)",-793.9571804684731,-786.6335364191323,-889.0,-791.3238946372971
"(0, 4)","(4, 2)",-801.80034279949,-806.0024185154921,-802.390234999526,-802.6728495880848
"(1, 4)","(4, 2)",-803.1857735967774,-803.5087836606591,-806.9162877392957,-803.3789972280235
"(2, 4)","(4, 2)",-801.5061066459197,-798.8697229282418,-983.28125,-797.4064143176531
"(0, 5)","(4, 2)",-799.8056704746655,-804.1863665648107,-800.0444162550841,-956.25
"(1, 5)","(4, 2)",-804.2228585680498,-801.5028483111571,-800.213055856854,-891.625
"(2, 5)","(4, 2)",-798.7553209580796,-796.8509872712956,-796.7071889072741,-890.75
"(3, 4)","(4, 2)",-797.0983256481011,-796.6213435918082,-950.625,-796.8793877754441
"(2, 3)","(3, 1)",0.0,0.0,0.0,0.0
